timestamp,session_id,event_type,event_data
1776645594,3fccb79e-1852-4912-b016-d57dc7f00786,Chest_Opened,"{""chest_id"":""life"",""level_id"":2}"
1776645608,3fccb79e-1852-4912-b016-d57dc7f00786,Feather_Recall_Attempt,"{""is_successful"":true}"
1776645609,3fccb79e-1852-4912-b016-d57dc7f00786,Checkpoint_Reached,"{""pos_x"":290.588,""pos_y"":93.17677}"
1776645620,3fccb79e-1852-4912-b016-d57dc7f00786,Feather_Recall_Attempt,"{""is_successful"":true}"
1776645625,3fccb79e-1852-4912-b016-d57dc7f00786,Feather_Recall_Attempt,"{""is_successful"":true}"
1776645628,3fccb79e-1852-4912-b016-d57dc7f00786,Feather_Recall_Attempt,"{""is_successful"":true}"
1776645638,3fccb79e-1852-4912-b016-d57dc7f00786,Player_Death,"{""pos_x"":290.588,""pos_y"":93.17677,""cause_of_death"":""void""}"
1776645640,3fccb79e-1852-4912-b016-d57dc7f00786,Player_Death,"{""pos_x"":290.588,""pos_y"":93.17677,""cause_of_death"":""void""}"
1776645651,3fccb79e-1852-4912-b016-d57dc7f00786,Feather_Recall_Attempt,"{""is_successful"":true}"
1776645654,3fccb79e-1852-4912-b016-d57dc7f00786,Feather_Recall_Attempt,"{""is_successful"":true}"
1776645655,3fccb79e-1852-4912-b016-d57dc7f00786,Feather_Recall_Attempt,"{""is_successful"":true}"
1776645656,3fccb79e-1852-4912-b016-d57dc7f00786,Player_Death,"{""pos_x"":290.588,""pos_y"":93.17677,""cause_of_death"":""void""}"
1776645658,3fccb79e-1852-4912-b016-d57dc7f00786,Feather_Recall_Attempt,"{""is_successful"":true}"
1776645658,3fccb79e-1852-4912-b016-d57dc7f00786,Player_Death,"{""pos_x"":290.588,""pos_y"":93.17677,""cause_of_death"":""void""}"
1776645661,3fccb79e-1852-4912-b016-d57dc7f00786,Player_Death,"{""pos_x"":290.588,""pos_y"":93.17677,""cause_of_death"":""void""}"
1776645672,3fccb79e-1852-4912-b016-d57dc7f00786,Feather_Recall_Attempt,"{""is_successful"":true}"
1776645676,3fccb79e-1852-4912-b016-d57dc7f00786,Feather_Recall_Attempt,"{""is_successful"":true}"
1776645691,3fccb79e-1852-4912-b016-d57dc7f00786,Player_Attack,"{""attack_type"":""aerial"",""enemy_hit"":true}"
1776645694,3fccb79e-1852-4912-b016-d57dc7f00786,Player_Attack,"{""attack_type"":""aerial"",""enemy_hit"":true}"
1776645698,3fccb79e-1852-4912-b016-d57dc7f00786,Player_Attack,"{""attack_type"":""aerial"",""enemy_hit"":true}"
1776645702,3fccb79e-1852-4912-b016-d57dc7f00786,Level_End,"{""level_id"":2,""result"":""completed""}"
1776645704,3fccb79e-1852-4912-b016-d57dc7f00786,Session_End,"{}"
